cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
10,13.342584199999996,80.22223615009766,13.3406488,80.1968868,Chennai – Pulicat Road,arterial,29310651,2751.08,2
21,12.667211840396766,79.53902470283383,12.6808598,79.5708042,Kancheepuram - Thiruvathipuram Road,arterial,687854973,3766.84,4
23,13.106735069036104,79.4249875958654,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,6612.1,2
34,13.175072300000002,80.0199562,13.1755133,80.0292943,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,1012.21,3
86,13.13503837778649,79.65670990681127,13.127249,79.6414927,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,95363875,1861.6,3
132,13.033440122714357,80.12151349227682,13.0365044,80.1125361,Poonamallee - Kundrathur - Pallavaram Road,arterial,835655062,1030.48,3
146,12.984656509872003,80.14104016560441,12.976628,80.1327607,Poonamallee - Kundrathur - Pallavaram Road,arterial,1363528604,1265.61,4
171,13.0086519,79.84087869999999,13.0141737,79.8509073,Walajabad - Sunguvarchathiram - Keelachery Road,arterial,1270620082,1247.99,2
194,13.161790556271,80.11706192254782,13.1565719,80.1031195,Vellanur - Red Hills Road,arterial,835741614,1617.31,2
196,12.938390181825069,80.14649537450326,12.9462996,80.1364372,Grand Southern Trunk Road,arterial,95641243,1400.57,12
