cluster_number,cluster_lat,cluster_long,num_students,user_ids
1,12.805026536336756,79.71003313832418,6,"6600,4662,6592,5812,6854,6253"
2,13.114413439999998,80.15545184,5,"8068,7735,5893,3464,7471"
3,13.066433634417415,79.67202544858301,4,"7819,6379,7308,2858"
4,12.989552280866848,79.67641991865611,2,"5357,299"
5,13.085259510701263,80.24795505263826,13,"2319,1199,7959,853,4603,2378,2497,4604,7921,6852,4320,257,7792"
6,13.103361141545253,80.20423150656602,17,"2355,6867,3999,467,7863,1041,4467,7597,3473,4558,3765,6511,4088,1847,3557,3538,192"
7,13.129723052634256,80.15801458739413,24,"7741,486,199,2228,3396,448,6350,5599,5912,2707,2051,3011,5740,6135,4940,1241,6672,4468,5554,7995,6225,3126,3355,3105"
8,13.029543784953441,80.21722646793172,13,"7739,1420,2506,5319,4246,437,3483,3543,3199,3079,7524,2546,5548"
9,13.117343708075168,80.28336956729238,3,"8101,2593,332"
10,13.067190791344425,80.22859747390729,9,"2548,7387,1049,4753,7965,7908,4324,5157,3614"
11,12.973533023916188,80.21366842257484,1,1839
12,13.060749309301597,80.16309797437077,7,"198,1492,5093,4202,5962,3516,5775"
13,13.088121140414547,80.26036768609296,8,"1845,3371,6710,312,6682,2631,4937,3911"
14,13.13217075463802,80.17040397366685,12,"3586,3072,3628,6344,8013,3017,8000,4617,5836,6765,7369,614"
15,13.119385914795906,80.08464239770024,8,"4229,4253,1450,7077,2222,7106,5605,5293"
16,13.01992968324816,80.18483706800238,3,"2371,4045,3536"
17,13.113456447602438,80.22545713363317,16,"5578,1937,4516,5313,253,2838,4154,1197,6523,3346,5173,3157,1093,5790,5040,3440"
18,13.079314214305922,80.22671544133593,7,"1805,5679,736,169,7152,6501,5282"
19,13.043561606581148,80.18374710154629,16,"7595,7443,384,789,861,5701,5728,2763,733,743,1605,474,5552,4099,316,338"
20,13.074705775226672,80.17387543054002,1,2794
21,13.11653445275311,80.19834711001434,4,"7202,3565,4122,2542"
22,13.12066985745704,80.2063072691357,27,"3257,3967,7951,3949,3866,2674,842,1239,717,7534,724,4043,323,6039,6100,4463,7404,6248,5196,3632,1182,7559,2326,7295,3561,5301,3830"
23,12.916312877547904,80.18878625742441,3,"4344,6980,3936"
24,13.076450752692288,80.20780364482567,9,"2711,4008,651,4708,7869,3224,4559,3772,1546"
25,12.905471882711769,80.09420209937271,7,"2340,6872,539,4979,6986,3633,956"
26,13.107518341425097,79.9108696094899,6,"7135,5523,6729,4831,6408,2360"
27,13.07995290465909,80.18054202858845,33,"1954,5688,1186,3212,4208,6544,4275,4863,1379,5699,3828,6096,5829,1207,2353,4110,6746,7763,3098,378,137,2874,5953,4166,3024,5330,88,176,944,7957,5588,723,7233"
28,12.682856455849336,79.98080188133129,10,"7833,5429,5459,315,7812,4233,5145,5746,4116,5418"
29,12.983893356487568,80.26739506217696,1,2259
30,13.031147137599286,80.2663376805078,3,"3268,2011,4552"
31,13.117846307318771,80.21688617664752,12,"2279,4944,2625,7688,5664,4786,4424,484,6193,7487,3123,2462"
32,12.965386603480368,80.17559757467875,2,"3826,6414"
33,13.120269614295589,80.23360926211492,6,"4262,7581,6073,5520,3611,1983"
34,13.097990436023634,80.2358150879406,9,"6099,6465,8045,6137,305,1061,1217,3465,1378"
35,13.118198585126711,80.09677393275213,18,"5277,6205,8029,758,7666,132,7273,7319,869,2689,3698,5556,3955,4912,5010,5801,2201,6046"
36,13.040853539294542,80.17292754780283,19,"4609,314,6656,6555,2241,7926,5777,4654,7562,1062,2447,3190,906,3784,2870,3143,1979,7084,8014"
37,13.3864454865324,80.21835189409516,1,3413
38,13.044415926490634,80.23268531077552,1,3750
39,13.136128366666668,79.91911846666666,3,"223,4811,777"
40,12.8101456,80.2039885,1,2994
41,13.121613930982697,80.14784491409868,34,"4571,7759,3890,6841,7371,2412,7509,7300,7057,1468,1508,108,4414,5493,2182,7450,7511,3863,22,7447,6238,278,6909,3316,2005,4570,669,4901,5710,3606,5586,4270,7224,701"
42,13.055966359359257,80.17216682811389,2,"5657,478"
43,13.299523278046967,80.15527064464541,5,"6186,6216,5515,3815,459"
44,12.954597585949896,80.15747921201644,3,"5629,7611,5982"
45,13.046303080138713,80.13772108912308,3,"5632,2136,7685"
46,13.0466012,80.1805655,1,5625
47,13.061121222813142,80.14389317634402,1,1946
48,13.039112643203113,80.13207508263082,39,"2456,7985,7638,3393,1849,5315,6896,6050,4395,6357,6500,6364,7705,3692,57,6419,6468,6847,2258,7086,7049,1143,6340,7798,2264,7043,7039,5001,3161,7800,5102,7977,8037,6377,7257,2627,7651,7419,5755"
49,12.963415015231105,79.9458686573265,1,1696
50,13.149316090256406,80.29871977776654,9,"1483,1472,4790,3381,151,7108,3922,3103,5240"
51,13.105015448170125,80.27838683541562,10,"6753,4364,6630,2305,5789,760,3683,2585,1357,4307"
52,13.145279663195089,79.8974943823471,3,"5873,5689,5424"
53,13.098194486972801,80.14746457276608,16,"7678,2281,7528,3092,1931,2908,7094,4479,3653,5171,5167,3754,6202,7104,7408,6288"
54,12.922858741311126,80.13539974266308,11,"7769,1461,5742,7138,442,6026,6558,3114,7116,4158,7344"
55,12.936478313518103,80.1274347060014,3,"7315,6649,5627"
56,13.128135888064755,80.12596385216065,17,"7837,7932,628,4137,6268,6775,146,1573,5859,3545,2547,2078,2253,3929,7424,7974,4522"
57,13.113948946340633,80.28297105334626,12,"7756,7455,3391,6931,2154,1385,5324,564,5670,3438,5640,5891"
58,12.927120098270196,80.12681210174947,7,"7684,943,7348,4715,6569,6602,398"
59,12.963623580275465,80.2029525599411,8,"3869,6078,4328,1139,4078,8031,1782,7928"
60,13.055253607622934,80.19371179915179,14,"3311,6250,6164,2441,30,193,6585,6292,716,2524,4120,6392,3964,4710"
61,12.910819008472572,80.15529997574399,6,"4385,2951,1530,7918,7947,1246"
62,12.935016372842224,80.12479604017395,4,"6675,6671,6678,7816"
63,13.082453767288506,80.16971591919362,27,"2884,4854,5648,1484,4419,6588,2657,7636,618,1208,1429,2385,2160,4044,725,3685,927,5802,7486,7467,5749,895,2102,7992,3998,805,679"
64,13.184742858144185,80.31230111715128,3,"3325,4218,3115"
65,13.037657983651178,80.17781930370484,2,"2549,222"
66,12.831715999045086,79.69862022014148,6,"4023,2422,5327,2531,6831,7219"
67,13.029915017679187,80.2241913957187,6,"2663,4593,1691,6560,427,3099"
68,13.152417583003682,80.22866985116018,6,"8012,3259,3209,3356,2323,637"
69,13.195129388068084,80.1675887474978,1,4471
70,13.058454378771168,80.21244513822813,9,"5874,5366,5850,3798,3957,2599,3307,3203,704"
71,13.12897497652554,79.98864848062699,1,6696
72,13.337141421563246,80.19441639211873,2,"6182,3181"
73,13.095503063360303,80.29272876537632,5,"5693,1732,6572,5402,3862"
74,13.113627201854623,80.29233754163228,13,"816,625,4392,574,867,2898,5612,2362,4412,3106,3479,3133,7641"
75,13.148415165532302,80.20216767127599,4,"2580,429,82,6528"
76,13.126202701319546,80.28919781524128,11,"5239,7912,2833,7617,693,6979,1457,1360,1339,7640,5925"
77,13.063431496838627,80.17205265339722,6,"3965,6860,6098,300,1365,6757"
78,12.798670073129388,80.02410110411749,4,"6966,6912,6934,7516"
79,13.027556582526927,80.27533963378565,6,"2761,2754,1147,7748,5787,5576"
80,12.998000303131352,80.09639224908975,11,"1255,1245,4417,4384,7412,2343,116,827,5131,5667,7867"
81,13.1259402,80.1173524,1,3450
82,13.021350390556348,80.14813391302152,7,"3952,4773,4429,5577,4674,4108,5099"
83,12.79020326116541,80.0358197177236,2,"3619,6536"
84,12.693506917094744,79.97783292315262,6,"500,7476,6102,6198,3031,4629"
85,12.96982323243388,80.14402622056329,14,"3804,879,1073,1016,924,400,7945,7206,7285,421,2218,3909,4539,468"
86,12.974861383037817,79.95493211722841,3,"5296,4031,6389"
87,13.046374138365298,80.0789626150882,5,"5408,849,4660,6375,5861"
88,13.055731581987578,80.06223116667472,4,"4035,2064,7913,2327"
89,13.03522408548162,80.19142955311872,7,"2435,7302,1444,5388,6152,388,7830"
90,13.044511140793633,80.12197677687396,1,2518
91,13.043962349789634,80.14699585978641,2,"2812,8047"
92,13.079680430937866,80.16406589329452,13,"877,8044,7367,5985,4727,1507,4294,1502,4469,6527,2272,6017,43"
93,12.920952387087231,80.09079484797815,17,"6924,6587,6864,6868,4547,6194,2376,4862,2713,1498,4082,8027,2727,8020,7983,2699,4833"
94,13.112519478630041,80.10778795738925,11,"6002,6667,1072,1399,3327,7917,672,5374,7910,1359,4139"
95,13.085657071886583,80.1873567970145,17,"2004,5952,6772,6823,3819,5376,1475,6963,3718,7193,7160,6433,6665,7542,5750,7078,2960"
96,13.109433883436468,79.9206853495516,4,"914,3822,1900,3733"
97,13.061198531091478,80.16332217067753,2,"4864,5390"
98,13.05772053327612,80.27370622405563,28,"5091,3247,2372,327,2251,3807,6568,6339,362,3512,6466,4507,7037,7635,3484,4215,1080,6450,6376,6423,2964,5438,1068,2872,7557,7549,135,5644"
99,13.055150849463947,80.21022007331271,7,"5038,6328,5177,2724,942,1175,833"
100,13.130688369564163,80.15389162308864,1,4658
101,13.068344060887677,80.21507383835097,20,"6952,2558,2832,3878,4224,6303,3313,5300,5172,5304,7190,4892,2630,1115,4407,6301,4335,7646,3494,5381"
102,13.041857223188101,80.20448213254353,22,"5335,1437,6043,2779,2726,4036,6711,6398,7240,3753,3592,379,395,3757,1500,3731,1471,1566,605,47,2400,3997"
103,12.83795133298675,79.7045449410338,14,"2144,1820,1873,903,4713,4694,3761,5337,3659,3577,4013,83,7340,5463"
104,13.01019420128496,80.12173805365944,8,"2131,5708,7604,313,1264,7149,66,3486"
105,13.06643477149757,80.22332120925728,11,"2183,3762,3883,4248,2052,3383,2380,6393,4952,1325,5887"
106,12.922703358393314,80.15111335304977,8,"389,1057,577,1076,888,7075,2857,464"
107,13.015560991565158,80.13690361940806,4,"2586,3490,4586,2174"
108,12.836849468681503,79.71462686934427,2,"1930,5856"
109,12.97467500988806,80.25814870212648,5,"5056,3100,2738,2895,3971"
110,13.050614104444236,80.28004186921905,2,"1892,6422"
111,13.002391110304366,80.13011424663624,1,5435
112,13.091067181606073,80.18783741662862,4,"5352,7706,7967,6474"
113,13.04774682420174,80.25747301182386,4,"3621,5230,513,6556"
114,13.1555912,80.22472549999999,1,2865
115,13.123028054002127,80.22352603513202,30,"6839,4327,630,5248,233,1038,3847,1275,182,3162,1890,2556,7430,1961,3160,5416,3797,3637,3500,4406,5546,2043,2493,3813,967,2532,2045,7949,325,5573"
116,13.027679592461299,80.25695603807443,6,"1770,5187,6609,3563,3893,20"
117,13.039295881807126,80.249507918315,6,"5439,6224,3433,1863,3580,3283"
118,12.850196037054502,79.6924266341832,3,"2712,7801,3109"
119,13.1251568,80.2490782,1,3436
120,13.02920853086366,80.26401981966352,1,266
121,13.038288731564958,80.25747046835131,1,2290
122,13.121347744951949,80.26026455132474,9,"1912,2111,4931,7698,6522,5965,2923,3801,2358"
123,13.115754550000002,80.246958225,4,"2330,213,185,2984"
124,13.1286361625301,80.24169366788969,3,"5483,4177,8063"
125,12.762327119852886,80.00294533665335,3,"143,5842,3789"
126,13.097399927732676,80.26194003370361,3,"2637,4574,7166"
127,13.097583181173563,80.25614272065101,1,7569
128,12.948758109280623,80.19937366089393,1,4123
129,13.095204334862222,80.29271133962602,1,1755
130,12.948666441384807,80.19929213866703,1,1813
131,12.783797087126363,79.6771047541334,4,"1204,3554,7920,4687"
132,13.334044071605378,79.8923481997472,4,"186,170,2855,1970"
133,12.693098616017322,79.97159996056159,1,4528
134,13.44493723529331,80.00301559586737,1,7972
135,13.411103202976463,80.11823545499152,2,"3016,3629"
136,13.11051236103314,80.10937505078617,10,"6976,7395,1843,5007,7916,7353,2621,6411,4017,5563"
137,13.093054570723762,80.1250089916649,2,"6230,1011"
138,13.125114,80.295542,1,7975
139,13.13672807963477,79.90846703333041,12,"419,820,5502,7065,7287,3938,3005,2007,4026,3445,4176,7410"
140,12.940130653929517,80.1853777375603,3,"502,3974,5432"
141,13.184160134614274,80.19176643901542,1,1549
142,13.021079429218288,80.12814830735441,2,"370,746"
143,13.165570419543544,80.25232291125438,13,"1278,216,623,4199,6548,3174,3417,226,643,1305,7725,4551,7076"
144,13.0181746,80.20586488,5,"6401,6395,1797,3928,6726"
145,13.034124728622025,80.1589537987321,13,"6272,7153,6967,7644,6727,5450,2971,4427,6269,7105,4898,7676,7147"
146,13.113011602656945,80.23643576651176,11,"6981,7168,4947,7050,2723,2126,7342,7564,2118,1433,2245"
147,13.102984577082667,80.1987507538276,1,5270
148,12.957303977099034,80.18763113789942,8,"5888,310,4400,8049,4394,3615,4533,4623"
149,13.2123325,80.2717625,1,508
150,13.121505955143892,80.15638818002816,5,"1787,4867,8005,3661,260"
151,12.982632827720703,80.22232987386947,5,"5227,6311,6549,3946,6559"
152,13.022625489112869,80.2622319656867,6,"7839,5451,894,570,6159,2932"
153,13.10188713910152,80.18689793861577,7,"4683,6885,4285,6407,4090,6969,3836"
154,13.039322149999999,80.09219633333332,6,"7338,7334,7390,7376,7378,7940"
155,12.831314077994396,79.72418795269616,1,5542
156,13.117876,80.220899,1,1920
157,13.099984179905837,80.27571411958735,3,"2771,1388,4316"
158,12.809193201215356,80.0291797192938,1,6092
159,13.030413033333334,80.20777488888888,9,"123,4776,2168,7901,340,5974,640,1731,2610"
160,13.096178026869168,80.25138977718197,5,"1458,3823,1090,4920,4249"
161,13.174546898985861,80.30571795724671,5,"1906,7372,6651,319,7966"
162,12.940472431861892,80.14746005493312,20,"6685,7006,4881,3441,7446,2104,5832,8033,4436,3778,4721,7386,6431,7388,3505,5158,2158,5960,7865,3594"
163,12.979536975,80.20026644999999,4,"6297,3689,4798,526"
164,13.034461270435362,80.1335023600844,2,"5135,1398"
165,13.120607486737944,80.19991228471625,7,"4241,2301,1070,431,2342,5804,3688"
166,12.823685519223162,79.70636635236646,20,"1031,741,1528,845,1495,7657,5387,6123,7017,7030,5638,3942,6472,6490,3650,2039,2439,5748,1198,935"
167,13.033879530705043,80.25618320106797,2,"371,2179"
168,12.984656509872003,80.14104016560441,4,"2905,6958,6360,3799"
169,13.0359765163995,80.2775736865367,6,"3482,5686,2122,2127,5019,5382"
170,13.107615563680163,80.1825065980274,18,"7787,396,1410,2453,7541,4825,2880,6388,7159,7361,4922,7184,3551,3101,7176,7196,7083,7820"
171,12.974868572553921,80.12892084799397,12,"7422,7087,5531,7133,7470,3004,4174,452,1286,1812,1047,3550"
172,12.968787114152411,80.24548100500738,3,"2534,6158,3776"
173,12.9069634,80.228504,1,1409
174,12.828083766421727,79.72218237100334,1,5216
175,12.852816034872461,80.06683533002618,2,"4696,4602"
176,12.819406880790288,79.69514848739617,24,"4599,439,1467,6302,1180,5333,6790,4374,501,5380,3730,5245,7946,7205,6579,7490,3370,6266,5470,2090,6281,2474,2108,4590"
177,12.979445412868685,80.23019828701695,4,"617,3574,6396,810"
178,13.028889217648002,80.15301057030254,4,"3827,1067,4782,3532"
179,13.027949771558333,80.20933328028765,3,"4858,5784,3145"
180,13.087341892443558,80.18066036629098,5,"2029,1421,7107,7126,7427"
181,13.0852897324082,80.20882014285483,19,"4705,4173,7099,3149,5721,7530,6794,2269,1408,519,7162,3921,7053,6513,6948,7935,933,1144,1851"
182,13.061514287688663,80.24275326657329,4,"4971,4702,3640,1402"
183,12.948436042061012,80.20536099602361,1,694
184,12.921747216561448,80.18485676323174,3,"155,7532,3226"
185,12.982479475,80.12829895,4,"1342,4906,2507,2499"
186,12.831081728447842,79.70872515123813,2,"4704,7519"
187,13.119291852865075,80.24061702551853,4,"7694,5511,5073,4876"
188,13.029997670207353,80.16679255735994,6,"29,3721,6233,2129,267,6279"
189,13.15841732277,79.85436336838006,1,4592
190,12.815077356023892,79.70637805117416,7,"3791,4903,3917,1756,6482,6451,4648"
191,13.072167024490405,80.12349902257249,8,"5922,4554,1347,3117,2632,8079,5871,3119"
192,13.075443057635681,80.26895144816773,2,"5455,181"
193,12.87404688549807,79.62125972918922,1,3944
194,12.93399149577362,80.15755481037951,2,"3214,1864"
195,13.037132286966084,80.19752419085403,4,"5413,3415,5389,1120"
196,12.95712433126543,80.24025515091503,1,5858
197,12.979913500305278,80.18537542621809,14,"6155,915,6373,3480,6679,190,4193,5647,4245,69,1393,7574,7520,7392"
198,13.1076239,80.0473994,1,5393
199,12.880856761552868,80.08053944676098,1,7398
200,13.3434102,80.1895547,1,3009
201,12.86863698872429,80.07571007021453,2,"6059,6007"
