cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
14,12.939954161639784,80.14476504282437,12.9462996,80.1364372,Grand Southern Trunk Road,arterial,95641243,1145.57,12
21,12.666148959787538,79.54024669576587,12.6808598,79.5708042,Kancheepuram - Thiruvathipuram Road,arterial,687854973,3696.67,7
40,13.02323296131069,80.053136067481,13.0374586,80.049149,NH48,highway,102548402,1639.73,3
52,13.108556581421665,79.42525307751924,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,6407.92,4
64,12.977607951857022,80.18334305883988,12.9745312,80.1921479,Mount - Medavakkam Road,arterial,179253495,1013.54,14
79,13.053087055366191,79.95889114060415,13.0222134,79.9579704,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,828054999,3434.44,2
80,13.16803533324056,80.09790807071647,13.1785269,80.0970981,ORR Service Road,arterial,1075657733,1169.9,3
153,13.1380541,79.6614376,13.1285283,79.6408227,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,95363875,2470.87,2
155,13.3425842,80.2209773,13.3406488,80.1968868,Chennai – Pulicat Road,arterial,29310651,2615.32,3
163,13.163661811385,79.85882338419003,13.152722,79.8560041,Chennai Tirupati Highway,highway,1231867877,1254.17,2
195,13.110733241064729,80.12936270917544,13.0987639,80.1317789,Thiruverkadu - Ambattur Road,arterial,385244157,1356.41,8
237,12.85714339888853,80.0410936658362,12.8408253,80.0562959,Grand Southern Trunk Road,highway,1080757453,2451.23,3
240,13.139775035712944,80.13757826852775,13.1305547,80.1362477,Chennai - Tiruttani - Renigunta Road,highway,389722996,1035.33,8
292,13.0611622,80.0199562,13.0719827,80.0323813,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,827608978,1805.25,2
296,12.907557680655284,80.15669089721499,12.9094073,80.1429398,Camp Salai,arterial,726604161,1504.53,8
302,13.092517695135296,80.07274458996582,13.08394,80.0624606,ORR Service Road,arterial,1075752806,1466.4,2
304,12.9844195377623,80.1452707209161,12.971607,80.1420641,Poonamallee - Kundrathur - Pallavaram Road,arterial,371337614,1466.45,3
318,13.117677262454826,79.94249741281017,13.1081472,79.9437024,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,84658049,1067.7,2
326,12.9380604169517,80.16056735081126,12.9235081,80.1593117,Velachery Mudhanmai Salai,arterial,183386138,1623.86,5
