cluster_number,original_lat,original_lon,snapped_lat,snapped_lon,route_name,route_type,route_id,snap_distance_meters,num_students
22,12.66649945514075,79.53960356711586,12.6808598,79.5708042,Kancheepuram - Thiruvathipuram Road,arterial,687854973,3742.56,6
23,13.108432326756803,79.42308386833022,13.1649857,79.4372602,Chittoor - Tiruttani Road,arterial,84658009,6473.1,4
63,13.340818528278254,80.21959966774315,13.3405245,80.1968949,Chennai – Pulicat Road,arterial,29310651,2456.75,4
102,13.053087055366191,79.95889114060415,13.0222134,79.9579704,Thandalam - Perambakkam - Thakkolam - Arugilpadi Road,arterial,828054999,3434.44,2
103,13.10955403321123,80.12974065148005,13.0987639,80.1317789,Thiruverkadu - Ambattur Road,arterial,385244157,1219.95,9
108,13.1750723,80.0199562,13.1755133,80.0292943,Korattur – Thinnanur – Periyapalayam Road,arterial,834092625,1012.21,4
126,13.1380541,79.6614376,13.1285283,79.6408227,Sadras - Chengalpattu - Kancheepuram - Arakkonam - Tiruthani Road,arterial,95363875,2470.87,3
164,12.86855635,80.05283044999999,12.8566371,80.0695952,Grand Southern Trunk Road,highway,95222430,2249.32,2
196,12.938915572402768,80.14840710767352,12.9465623,80.1366393,Grand Southern Trunk Road,arterial,95641243,1532.74,20
200,13.163661811385,79.85882338419003,13.152722,79.8560041,Chennai Tirupati Highway,highway,1231867877,1254.17,2
214,13.0086519,79.84087869999999,13.0141737,79.8509073,Walajabad - Sunguvarchathiram - Keelachery Road,arterial,1270620082,1247.99,2
251,13.025830986345737,80.0799272126047,13.0293079,80.0901774,ORR Service Road,arterial,1074791869,1175.81,2
256,13.02323296131069,80.053136067481,13.0374586,80.049149,NH48,highway,102548402,1639.73,3
282,12.964861726740184,80.17573836233937,12.962647,80.187541,Mount - Medavakkam Road,arterial,837321907,1302.44,4
283,13.11268635,79.98408309999999,13.0979584,79.9834154,Thirumazhisai - Thiruvallur - Uthukottai Road,arterial,827608982,1639.27,2
289,12.85846462295341,80.03780914393103,12.8408253,80.0562959,Grand Southern Trunk Road,highway,1080757453,2804.24,2
311,13.161790556271,80.11706192254782,13.1565719,80.1031195,Vellanur - Red Hills Road,arterial,835741614,1617.31,2
325,13.124661176769456,79.92900621214669,13.1343267,79.9326319,Chennai Tirupati Highway,highway,1040827858,1144.23,4
327,12.985671756320508,80.14608637110908,12.9741445,80.1543054,Grand Southern Trunk Road Flyover,arterial,1040004966,1560.78,2
332,12.908907162915082,80.15658757706574,12.9107101,80.143129,Camp Salai,arterial,726604161,1472.41,7
336,12.939669340941316,80.15938496893033,12.9537357,80.1623678,Pallavaram - Thoraipakkam Road,arterial,864059071,1597.16,4
